in s,Math in V
-5.000000E-04,8.78777E-03
-4.999500E-04,5.17457E-02
-4.999000E-04,3.41692E-02
-4.998500E-04,-2.88195E-02
-4.998000E-04,-2.34383E-02
-4.997500E-04,3.36814E-02
-4.997000E-04,4.73554E-02
-4.996500E-04,1.02512E-02
-4.996000E-04,-3.02829E-02
-4.995500E-04,2.91879E-03
-4.995000E-04,5.22335E-02
-4.994500E-04,2.63642E-02
-4.994000E-04,-1.17308E-02
-4.993500E-04,-2.14871E-02
-4.993000E-04,2.83155E-02
-4.992500E-04,4.44285E-02
-4.992000E-04,-2.44714E-03
-4.991500E-04,-1.27064E-02
-4.991000E-04,1.12268E-02
-4.990500E-04,3.46570E-02
-4.990000E-04,2.73399E-02
-4.989500E-04,-1.95358E-02
-4.989000E-04,1.45535E-03
-4.988500E-04,3.31936E-02
-4.988000E-04,2.04953E-02
-4.987500E-04,-6.83745E-03
-4.987000E-04,-1.66089E-02
-4.986500E-04,2.78277E-02
-4.986000E-04,4.39407E-02
-4.985500E-04,-7.32526E-03
-4.985000E-04,-1.85602E-02
-4.984500E-04,4.38222E-03
-4.984000E-04,4.63798E-02
-4.983500E-04,2.92911E-02
-4.983000E-04,-2.68682E-02
-4.982500E-04,-1.36821E-02
-4.982000E-04,3.70961E-02
-4.981500E-04,4.68676E-02
-4.981000E-04,1.26903E-02
-4.980500E-04,-3.56488E-02
-4.980000E-04,1.12268E-02
-4.979500E-04,5.17457E-02
-4.979000E-04,2.92911E-02
-4.978500E-04,-1.80724E-02
-4.978000E-04,-3.02829E-02
-4.977500E-04,3.75839E-02
-4.977000E-04,5.32091E-02
-4.976500E-04,4.79728E-04
-4.976000E-04,-2.34383E-02
-4.975500E-04,-7.81307E-03
-4.975000E-04,5.02823E-02
-4.974500E-04,3.41692E-02
-4.974000E-04,-1.85602E-02
-4.973500E-04,-1.02674E-02
-4.973000E-04,2.00074E-02
-4.972500E-04,4.78432E-02
-4.972000E-04,-8.08411E-06
-4.971500E-04,-1.95358E-02
-4.971000E-04,1.17146E-02
-4.970500E-04,3.95504E-02
-4.970000E-04,1.65928E-02
-4.969500E-04,-1.17308E-02
-4.969000E-04,-3.42277E-03
-4.968500E-04,3.75839E-02
-4.968000E-04,3.22180E-02
-4.967500E-04,-1.02674E-02
-4.967000E-04,-1.07552E-02
-4.966500E-04,2.29343E-02
-4.966000E-04,4.49163E-02
-4.965500E-04,6.33347E-03
-4.965000E-04,-2.44292E-02
-4.964500E-04,1.17146E-02
-4.964000E-04,4.68676E-02
-4.963500E-04,2.78277E-02
-4.963000E-04,-2.83317E-02
-4.962500E-04,-2.39261E-02
-4.962000E-04,4.24773E-02
-4.961500E-04,5.07701E-02
